id:252244149, num_bboxes:5, num_nps:4, all matchings:4, correct_count:2, wrong_count:4 
id:4579431117, num_bboxes:5, num_nps:3, all matchings:3, correct_count:3, wrong_count:4 
id:4501622942, num_bboxes:5, num_nps:3, all matchings:3, correct_count:2, wrong_count:1 
id:7188003, num_bboxes:5, num_nps:3, all matchings:2, correct_count:2, wrong_count:9 
id:2319197581, num_bboxes:3, num_nps:2, all matchings:2, correct_count:1, wrong_count:3 
id:5491045483, num_bboxes:5, num_nps:3, all matchings:4, correct_count:4, wrong_count:7 
id:2317665783, num_bboxes:5, num_nps:3, all matchings:3, correct_count:1, wrong_count:5 
id:1306145560, num_bboxes:4, num_nps:4, all matchings:4, correct_count:2, wrong_count:4 
id:2851198725, num_bboxes:4, num_nps:4, all matchings:4, correct_count:3, wrong_count:8 
id:3514194772, num_bboxes:5, num_nps:3, all matchings:5, correct_count:3, wrong_count:4 
id:6337155749, num_bboxes:4, num_nps:4, all matchings:4, correct_count:3, wrong_count:10 
id:5446138396, num_bboxes:5, num_nps:2, all matchings:3, correct_count:3, wrong_count:5 
id:2871565069, num_bboxes:5, num_nps:5, all matchings:5, correct_count:2, wrong_count:2 
id:2811001948, num_bboxes:5, num_nps:4, all matchings:3, correct_count:2, wrong_count:5 
id:428979011, num_bboxes:5, num_nps:3, all matchings:3, correct_count:3, wrong_count:10 
id:4685135402, num_bboxes:5, num_nps:4, all matchings:3, correct_count:1, wrong_count:4 
id:2148695079, num_bboxes:3, num_nps:2, all matchings:3, correct_count:3, wrong_count:1 
id:3337332770, num_bboxes:5, num_nps:2, all matchings:2, correct_count:2, wrong_count:5 
id:3938365030, num_bboxes:4, num_nps:5, all matchings:4, correct_count:2, wrong_count:2 
id:2833582518, num_bboxes:5, num_nps:4, all matchings:4, correct_count:3, wrong_count:4 
id:2649216969, num_bboxes:4, num_nps:4, all matchings:3, correct_count:2, wrong_count:5 
id:4937201263, num_bboxes:4, num_nps:6, all matchings:4, correct_count:3, wrong_count:6 
id:2061171746, num_bboxes:5, num_nps:3, all matchings:5, correct_count:0, wrong_count:1 
id:4677472934, num_bboxes:5, num_nps:3, all matchings:2, correct_count:2, wrong_count:3 
id:2432061076, num_bboxes:4, num_nps:4, all matchings:3, correct_count:3, wrong_count:6 
id:2587846523, num_bboxes:5, num_nps:3, all matchings:3, correct_count:2, wrong_count:1 
id:2174343200, num_bboxes:4, num_nps:3, all matchings:3, correct_count:1, wrong_count:5 
id:3212456649, num_bboxes:3, num_nps:3, all matchings:2, correct_count:2, wrong_count:4 
id:3980506413, num_bboxes:5, num_nps:6, all matchings:4, correct_count:2, wrong_count:2 
id:3846674484, num_bboxes:5, num_nps:4, all matchings:4, correct_count:3, wrong_count:6 
id:262963190, num_bboxes:5, num_nps:4, all matchings:3, correct_count:1, wrong_count:3 
id:3749195206, num_bboxes:3, num_nps:3, all matchings:2, correct_count:2, wrong_count:6 
id:2967630001, num_bboxes:4, num_nps:3, all matchings:2, correct_count:3, wrong_count:5 
id:819526898, num_bboxes:2, num_nps:3, all matchings:2, correct_count:1, wrong_count:1 
id:4440438333, num_bboxes:4, num_nps:4, all matchings:3, correct_count:3, wrong_count:9 
id:2475300106, num_bboxes:4, num_nps:4, all matchings:3, correct_count:2, wrong_count:5 
id:2102030040, num_bboxes:5, num_nps:4, all matchings:4, correct_count:2, wrong_count:7 
id:3427614912, num_bboxes:4, num_nps:2, all matchings:2, correct_count:1, wrong_count:1 
id:4579150154, num_bboxes:2, num_nps:2, all matchings:2, correct_count:2, wrong_count:2 
id:3116985493, num_bboxes:3, num_nps:3, all matchings:3, correct_count:2, wrong_count:2 
id:861608773, num_bboxes:4, num_nps:3, all matchings:2, correct_count:2, wrong_count:3 
id:938162709, num_bboxes:2, num_nps:3, all matchings:1, correct_count:2, wrong_count:3 
id:3299820401, num_bboxes:3, num_nps:3, all matchings:2, correct_count:2, wrong_count:4 
id:91972799, num_bboxes:4, num_nps:3, all matchings:3, correct_count:2, wrong_count:2 
id:3368207495, num_bboxes:5, num_nps:3, all matchings:4, correct_count:3, wrong_count:3 
id:465129973, num_bboxes:5, num_nps:5, all matchings:5, correct_count:2, wrong_count:2 
id:2759652248, num_bboxes:4, num_nps:4, all matchings:3, correct_count:2, wrong_count:5 
id:5441315625, num_bboxes:5, num_nps:3, all matchings:5, correct_count:5, wrong_count:6 
id:4609789441, num_bboxes:4, num_nps:5, all matchings:4, correct_count:3, wrong_count:7 
id:3033741581, num_bboxes:4, num_nps:2, all matchings:2, correct_count:2, wrong_count:6 
id:2800842386, num_bboxes:5, num_nps:4, all matchings:3, correct_count:3, wrong_count:5 
id:3019864782, num_bboxes:3, num_nps:4, all matchings:3, correct_count:3, wrong_count:5 
id:177522874, num_bboxes:5, num_nps:6, all matchings:5, correct_count:5, wrong_count:9 
id:911795495, num_bboxes:5, num_nps:3, all matchings:2, correct_count:1, wrong_count:5 
id:331331911, num_bboxes:3, num_nps:4, all matchings:3, correct_count:3, wrong_count:4 
id:3366105287, num_bboxes:5, num_nps:5, all matchings:4, correct_count:3, wrong_count:12 
id:2929405404, num_bboxes:4, num_nps:4, all matchings:3, correct_count:2, wrong_count:9 
id:4464176007, num_bboxes:4, num_nps:4, all matchings:3, correct_count:3, wrong_count:2 
id:5806326544, num_bboxes:3, num_nps:4, all matchings:2, correct_count:2, wrong_count:4 
id:114954667, num_bboxes:5, num_nps:4, all matchings:4, correct_count:3, wrong_count:4 
id:6267021353, num_bboxes:4, num_nps:6, all matchings:4, correct_count:2, wrong_count:0 
id:930748509, num_bboxes:5, num_nps:5, all matchings:4, correct_count:3, wrong_count:7 
id:2206284983, num_bboxes:3, num_nps:5, all matchings:3, correct_count:2, wrong_count:2 
id:461139063, num_bboxes:3, num_nps:4, all matchings:1, correct_count:0, wrong_count:0 
id:2097650932, num_bboxes:5, num_nps:3, all matchings:3, correct_count:3, wrong_count:4 
id:2335634931, num_bboxes:4, num_nps:4, all matchings:4, correct_count:2, wrong_count:5 
