id:6181931777, num_bboxes:7, num_nps:7, all matchings:3, correct_count:0, wrong_count:4 
id:1433142189, num_bboxes:5, num_nps:4, all matchings:4, correct_count:2, wrong_count:1 
id:4553735325, num_bboxes:4, num_nps:5, all matchings:4, correct_count:1, wrong_count:0 
id:6533934303, num_bboxes:5, num_nps:3, all matchings:3, correct_count:1, wrong_count:2 
id:2845006899, num_bboxes:2, num_nps:3, all matchings:2, correct_count:1, wrong_count:0 
id:2344625369, num_bboxes:7, num_nps:3, all matchings:3, correct_count:0, wrong_count:3 
id:4546344816, num_bboxes:4, num_nps:5, all matchings:4, correct_count:1, wrong_count:0 
id:7431651498, num_bboxes:5, num_nps:5, all matchings:4, correct_count:1, wrong_count:1 
id:3912500237, num_bboxes:4, num_nps:3, all matchings:3, correct_count:2, wrong_count:0 
id:6759026091, num_bboxes:2, num_nps:3, all matchings:2, correct_count:2, wrong_count:0 
id:781387473, num_bboxes:4, num_nps:4, all matchings:2, correct_count:1, wrong_count:1 
id:2411824767, num_bboxes:4, num_nps:4, all matchings:4, correct_count:2, wrong_count:0 
id:1307635496, num_bboxes:7, num_nps:4, all matchings:5, correct_count:2, wrong_count:0 
id:4106948497, num_bboxes:10, num_nps:4, all matchings:10, correct_count:1, wrong_count:1 
id:4051627887, num_bboxes:10, num_nps:3, all matchings:3, correct_count:2, wrong_count:1 
id:4684595168, num_bboxes:10, num_nps:4, all matchings:4, correct_count:0, wrong_count:1 
id:4438149916, num_bboxes:6, num_nps:5, all matchings:6, correct_count:2, wrong_count:0 
id:3728438187, num_bboxes:7, num_nps:5, all matchings:5, correct_count:0, wrong_count:2 
id:4690414746, num_bboxes:8, num_nps:3, all matchings:6, correct_count:1, wrong_count:0 
id:4761326634, num_bboxes:4, num_nps:4, all matchings:3, correct_count:1, wrong_count:1 
id:4918785879, num_bboxes:9, num_nps:6, all matchings:4, correct_count:3, wrong_count:2 
id:5404607703, num_bboxes:8, num_nps:4, all matchings:4, correct_count:0, wrong_count:2 
id:401649634, num_bboxes:10, num_nps:6, all matchings:8, correct_count:3, wrong_count:1 
id:2858819804, num_bboxes:7, num_nps:7, all matchings:6, correct_count:0, wrong_count:1 
id:4682354270, num_bboxes:9, num_nps:4, all matchings:8, correct_count:0, wrong_count:1 
id:2148234367, num_bboxes:10, num_nps:3, all matchings:6, correct_count:0, wrong_count:3 
id:2511759131, num_bboxes:4, num_nps:3, all matchings:3, correct_count:2, wrong_count:1 
id:2088910854, num_bboxes:6, num_nps:5, all matchings:4, correct_count:1, wrong_count:3 
id:2438726098, num_bboxes:4, num_nps:3, all matchings:2, correct_count:0, wrong_count:1 
id:156205911, num_bboxes:6, num_nps:6, all matchings:6, correct_count:0, wrong_count:3 
id:3201115507, num_bboxes:7, num_nps:3, all matchings:3, correct_count:0, wrong_count:3 
id:4764430842, num_bboxes:10, num_nps:8, all matchings:8, correct_count:2, wrong_count:2 
id:4676845629, num_bboxes:7, num_nps:5, all matchings:5, correct_count:2, wrong_count:0 
id:3951953306, num_bboxes:6, num_nps:3, all matchings:4, correct_count:1, wrong_count:0 
id:432248727, num_bboxes:2, num_nps:2, all matchings:2, correct_count:2, wrong_count:0 
id:3339586622, num_bboxes:5, num_nps:4, all matchings:4, correct_count:2, wrong_count:1 
id:3591170729, num_bboxes:9, num_nps:4, all matchings:4, correct_count:0, wrong_count:3 
id:2924870944, num_bboxes:3, num_nps:2, all matchings:2, correct_count:1, wrong_count:0 
id:4263999253, num_bboxes:9, num_nps:4, all matchings:4, correct_count:0, wrong_count:1 
id:3826408509, num_bboxes:10, num_nps:4, all matchings:5, correct_count:2, wrong_count:0 
id:1220401002, num_bboxes:2, num_nps:2, all matchings:2, correct_count:1, wrong_count:0 
id:2094369401, num_bboxes:4, num_nps:3, all matchings:3, correct_count:0, wrong_count:2 
id:3198231851, num_bboxes:6, num_nps:4, all matchings:6, correct_count:2, wrong_count:1 
id:2151300603, num_bboxes:4, num_nps:4, all matchings:4, correct_count:1, wrong_count:0 
id:469943969, num_bboxes:6, num_nps:6, all matchings:6, correct_count:1, wrong_count:2 
id:2633069263, num_bboxes:5, num_nps:5, all matchings:5, correct_count:2, wrong_count:0 
id:7709055992, num_bboxes:4, num_nps:2, all matchings:2, correct_count:0, wrong_count:2 
id:4663401740, num_bboxes:8, num_nps:5, all matchings:5, correct_count:0, wrong_count:1 
id:5513216171, num_bboxes:10, num_nps:4, all matchings:3, correct_count:0, wrong_count:1 
id:4773100636, num_bboxes:5, num_nps:4, all matchings:5, correct_count:1, wrong_count:0 
id:277930631, num_bboxes:4, num_nps:4, all matchings:4, correct_count:2, wrong_count:1 
id:5748024681, num_bboxes:8, num_nps:4, all matchings:4, correct_count:2, wrong_count:1 
id:3124677720, num_bboxes:5, num_nps:5, all matchings:4, correct_count:2, wrong_count:0 
id:4757931558, num_bboxes:4, num_nps:3, all matchings:4, correct_count:1, wrong_count:1 
id:2321865325, num_bboxes:5, num_nps:3, all matchings:1, correct_count:1, wrong_count:1 
id:3304484212, num_bboxes:5, num_nps:3, all matchings:3, correct_count:0, wrong_count:3 
id:3590593467, num_bboxes:6, num_nps:3, all matchings:3, correct_count:2, wrong_count:1 
id:4556128862, num_bboxes:6, num_nps:5, all matchings:4, correct_count:3, wrong_count:0 
id:3342487512, num_bboxes:4, num_nps:2, all matchings:2, correct_count:0, wrong_count:2 
id:174557398, num_bboxes:4, num_nps:4, all matchings:4, correct_count:1, wrong_count:0 
id:2669048370, num_bboxes:5, num_nps:5, all matchings:5, correct_count:2, wrong_count:2 
id:402685953, num_bboxes:6, num_nps:6, all matchings:5, correct_count:1, wrong_count:0 
id:3017871294, num_bboxes:7, num_nps:6, all matchings:5, correct_count:1, wrong_count:0 
id:4984199246, num_bboxes:5, num_nps:4, all matchings:5, correct_count:0, wrong_count:3 
id:2326177720, num_bboxes:6, num_nps:4, all matchings:4, correct_count:1, wrong_count:0 
id:8063007, num_bboxes:7, num_nps:4, all matchings:4, correct_count:1, wrong_count:2 
id:3247693965, num_bboxes:6, num_nps:4, all matchings:4, correct_count:2, wrong_count:1 
id:6886050898, num_bboxes:8, num_nps:3, all matchings:1, correct_count:0, wrong_count:3 
id:523985664, num_bboxes:6, num_nps:4, all matchings:4, correct_count:2, wrong_count:2 
id:2561481438, num_bboxes:4, num_nps:3, all matchings:2, correct_count:1, wrong_count:2 
id:4122558617, num_bboxes:8, num_nps:10, all matchings:8, correct_count:3, wrong_count:1 
id:4700142703, num_bboxes:3, num_nps:3, all matchings:2, correct_count:2, wrong_count:0 
id:811662356, num_bboxes:3, num_nps:3, all matchings:3, correct_count:1, wrong_count:0 
id:13615892, num_bboxes:6, num_nps:6, all matchings:6, correct_count:1, wrong_count:4 
id:3649307685, num_bboxes:6, num_nps:6, all matchings:6, correct_count:5, wrong_count:1 
id:3557871242, num_bboxes:7, num_nps:3, all matchings:6, correct_count:0, wrong_count:2 
id:870367466, num_bboxes:8, num_nps:4, all matchings:5, correct_count:1, wrong_count:2 
id:2664102751, num_bboxes:3, num_nps:4, all matchings:3, correct_count:1, wrong_count:0 
id:4328463789, num_bboxes:5, num_nps:4, all matchings:4, correct_count:1, wrong_count:1 
id:3345177815, num_bboxes:9, num_nps:3, all matchings:3, correct_count:0, wrong_count:3 
id:2419569803, num_bboxes:7, num_nps:6, all matchings:6, correct_count:2, wrong_count:0 
id:3467941308, num_bboxes:1, num_nps:2, all matchings:1, correct_count:1, wrong_count:0 
id:3876751750, num_bboxes:8, num_nps:4, all matchings:4, correct_count:1, wrong_count:3 
id:228866972, num_bboxes:9, num_nps:5, all matchings:6, correct_count:2, wrong_count:2 
id:4256162530, num_bboxes:8, num_nps:4, all matchings:6, correct_count:0, wrong_count:3 
id:2638054798, num_bboxes:6, num_nps:2, all matchings:2, correct_count:1, wrong_count:1 
id:173616185, num_bboxes:10, num_nps:5, all matchings:5, correct_count:0, wrong_count:3 
id:642987597, num_bboxes:3, num_nps:3, all matchings:3, correct_count:0, wrong_count:1 
id:3594029059, num_bboxes:4, num_nps:2, all matchings:2, correct_count:1, wrong_count:0 
id:6171705161, num_bboxes:5, num_nps:3, all matchings:3, correct_count:2, wrong_count:1 
id:318896597, num_bboxes:8, num_nps:3, all matchings:6, correct_count:0, wrong_count:3 
id:425518464, num_bboxes:5, num_nps:4, all matchings:4, correct_count:1, wrong_count:0 
id:4914309980, num_bboxes:4, num_nps:4, all matchings:3, correct_count:0, wrong_count:1 
id:2295920018, num_bboxes:3, num_nps:6, all matchings:3, correct_count:1, wrong_count:0 
id:4970590451, num_bboxes:3, num_nps:3, all matchings:3, correct_count:1, wrong_count:1 
id:4929237993, num_bboxes:7, num_nps:3, all matchings:4, correct_count:1, wrong_count:2 
id:487894806, num_bboxes:4, num_nps:3, all matchings:3, correct_count:1, wrong_count:0 
id:172923228, num_bboxes:4, num_nps:3, all matchings:3, correct_count:0, wrong_count:2 
id:2311690895, num_bboxes:7, num_nps:3, all matchings:4, correct_count:3, wrong_count:0 
id:777014662, num_bboxes:4, num_nps:6, all matchings:3, correct_count:0, wrong_count:4 
id:7188003, num_bboxes:5, num_nps:3, all matchings:2, correct_count:0, wrong_count:1 
id:4840179259, num_bboxes:4, num_nps:3, all matchings:2, correct_count:1, wrong_count:0 
id:7646106950, num_bboxes:9, num_nps:5, all matchings:5, correct_count:1, wrong_count:3 
id:4859978011, num_bboxes:5, num_nps:6, all matchings:4, correct_count:2, wrong_count:3 
id:488352274, num_bboxes:3, num_nps:2, all matchings:2, correct_count:1, wrong_count:1 
id:3110840233, num_bboxes:6, num_nps:3, all matchings:4, correct_count:1, wrong_count:2 
id:3722540104, num_bboxes:4, num_nps:4, all matchings:3, correct_count:1, wrong_count:2 
id:2357648783, num_bboxes:9, num_nps:4, all matchings:4, correct_count:1, wrong_count:0 
id:3772528949, num_bboxes:8, num_nps:4, all matchings:7, correct_count:2, wrong_count:2 
id:2698666984, num_bboxes:4, num_nps:4, all matchings:4, correct_count:1, wrong_count:0 
id:2960095850, num_bboxes:7, num_nps:5, all matchings:5, correct_count:1, wrong_count:1 
id:408748500, num_bboxes:4, num_nps:3, all matchings:3, correct_count:1, wrong_count:0 
id:2797438951, num_bboxes:4, num_nps:4, all matchings:4, correct_count:2, wrong_count:0 
id:4858940251, num_bboxes:7, num_nps:3, all matchings:3, correct_count:2, wrong_count:1 
id:2526086176, num_bboxes:10, num_nps:4, all matchings:8, correct_count:0, wrong_count:1 
id:4633043171, num_bboxes:5, num_nps:5, all matchings:4, correct_count:1, wrong_count:2 
id:539218410, num_bboxes:6, num_nps:4, all matchings:4, correct_count:2, wrong_count:0 
id:3654103642, num_bboxes:8, num_nps:3, all matchings:4, correct_count:2, wrong_count:0 
id:3397633339, num_bboxes:4, num_nps:4, all matchings:4, correct_count:2, wrong_count:0 
id:4671540511, num_bboxes:10, num_nps:6, all matchings:5, correct_count:1, wrong_count:1 
id:2972999479, num_bboxes:6, num_nps:6, all matchings:6, correct_count:2, wrong_count:0 
id:5914789066, num_bboxes:7, num_nps:8, all matchings:4, correct_count:0, wrong_count:1 
id:3016741474, num_bboxes:7, num_nps:4, all matchings:4, correct_count:3, wrong_count:1 
id:5280521648, num_bboxes:9, num_nps:6, all matchings:6, correct_count:3, wrong_count:3 
id:3558251719, num_bboxes:7, num_nps:4, all matchings:4, correct_count:1, wrong_count:2 
id:7181980147, num_bboxes:8, num_nps:5, all matchings:5, correct_count:2, wrong_count:0 
id:2140182410, num_bboxes:4, num_nps:4, all matchings:3, correct_count:1, wrong_count:0 
id:3296124052, num_bboxes:7, num_nps:4, all matchings:2, correct_count:1, wrong_count:0 
id:1527333441, num_bboxes:8, num_nps:6, all matchings:6, correct_count:3, wrong_count:1 
id:104700891, num_bboxes:9, num_nps:4, all matchings:4, correct_count:2, wrong_count:2 
id:4938224902, num_bboxes:10, num_nps:3, all matchings:5, correct_count:1, wrong_count:2 
id:314799867, num_bboxes:9, num_nps:4, all matchings:3, correct_count:1, wrong_count:2 
id:4431086360, num_bboxes:5, num_nps:3, all matchings:3, correct_count:2, wrong_count:1 
id:1195966967, num_bboxes:10, num_nps:6, all matchings:8, correct_count:3, wrong_count:0 
id:4745083013, num_bboxes:7, num_nps:5, all matchings:5, correct_count:2, wrong_count:2 
id:237958272, num_bboxes:7, num_nps:5, all matchings:5, correct_count:1, wrong_count:4 
id:503357436, num_bboxes:4, num_nps:5, all matchings:4, correct_count:1, wrong_count:1 
id:3050523266, num_bboxes:10, num_nps:6, all matchings:7, correct_count:0, wrong_count:1 
id:2549819434, num_bboxes:3, num_nps:2, all matchings:1, correct_count:0, wrong_count:1 
id:3117562746, num_bboxes:8, num_nps:4, all matchings:6, correct_count:0, wrong_count:2 
id:4587060991, num_bboxes:7, num_nps:5, all matchings:5, correct_count:0, wrong_count:2 
id:2694178830, num_bboxes:8, num_nps:3, all matchings:4, correct_count:0, wrong_count:3 
id:1562478333, num_bboxes:5, num_nps:4, all matchings:4, correct_count:3, wrong_count:0 
id:4736623123, num_bboxes:6, num_nps:4, all matchings:4, correct_count:2, wrong_count:1 
id:4105945751, num_bboxes:9, num_nps:2, all matchings:5, correct_count:0, wrong_count:1 
id:2119044348, num_bboxes:9, num_nps:5, all matchings:6, correct_count:2, wrong_count:3 
id:2876232980, num_bboxes:6, num_nps:4, all matchings:4, correct_count:0, wrong_count:2 
id:2677296582, num_bboxes:5, num_nps:3, all matchings:3, correct_count:1, wrong_count:0 
id:3684680947, num_bboxes:5, num_nps:4, all matchings:2, correct_count:0, wrong_count:1 
id:4552725875, num_bboxes:10, num_nps:3, all matchings:7, correct_count:2, wrong_count:1 
id:2581472438, num_bboxes:6, num_nps:5, all matchings:4, correct_count:2, wrong_count:0 
id:2166278644, num_bboxes:4, num_nps:3, all matchings:3, correct_count:1, wrong_count:0 
id:3544483327, num_bboxes:5, num_nps:5, all matchings:5, correct_count:3, wrong_count:2 
id:4658409452, num_bboxes:7, num_nps:5, all matchings:6, correct_count:2, wrong_count:2 
id:4259979213, num_bboxes:6, num_nps:3, all matchings:4, correct_count:1, wrong_count:1 
id:539676201, num_bboxes:4, num_nps:3, all matchings:2, correct_count:0, wrong_count:3 
id:363503759, num_bboxes:8, num_nps:5, all matchings:5, correct_count:1, wrong_count:0 
id:2286062045, num_bboxes:4, num_nps:5, all matchings:3, correct_count:0, wrong_count:2 
id:530347828, num_bboxes:8, num_nps:4, all matchings:7, correct_count:0, wrong_count:1 
id:449669516, num_bboxes:10, num_nps:7, all matchings:8, correct_count:3, wrong_count:3 
id:5908613029, num_bboxes:6, num_nps:5, all matchings:2, correct_count:1, wrong_count:2 
id:4904276466, num_bboxes:8, num_nps:7, all matchings:7, correct_count:0, wrong_count:1 
id:3030566410, num_bboxes:5, num_nps:5, all matchings:5, correct_count:2, wrong_count:0 
id:3980506413, num_bboxes:5, num_nps:6, all matchings:4, correct_count:1, wrong_count:0 
id:2654018684, num_bboxes:9, num_nps:3, all matchings:4, correct_count:0, wrong_count:2 
id:5648321, num_bboxes:8, num_nps:7, all matchings:5, correct_count:2, wrong_count:5 
id:4264028492, num_bboxes:5, num_nps:4, all matchings:3, correct_count:1, wrong_count:0 
id:4443434749, num_bboxes:10, num_nps:4, all matchings:4, correct_count:1, wrong_count:3 
id:2460188548, num_bboxes:8, num_nps:6, all matchings:6, correct_count:1, wrong_count:0 
id:45935254, num_bboxes:7, num_nps:4, all matchings:4, correct_count:1, wrong_count:0 
id:3199460792, num_bboxes:6, num_nps:4, all matchings:4, correct_count:1, wrong_count:3 
id:5080041741, num_bboxes:9, num_nps:4, all matchings:1, correct_count:1, wrong_count:3 
id:2435508244, num_bboxes:6, num_nps:5, all matchings:5, correct_count:2, wrong_count:2 
id:1386964743, num_bboxes:7, num_nps:4, all matchings:4, correct_count:0, wrong_count:4 
